restaurant_name,rating,num_ratings,avg_cost,online_order,table_booking,cuisines,area
#FeelTheROLL,3.4,7,200.0,0,0,['Fast Food'],Bellandur
#L-81 Cafe,3.9,48,400.0,1,0,"['Fast Food', 'Beverages']","Byresandra,Tavarekere,Madiwala"
#refuel,3.7,37,400.0,1,0,"['Cafe', 'Beverages']",Bannerghatta Road
'@ Biryani Central,2.7,135,550.0,1,0,"['Biryani', 'Mughlai', 'Chinese']",Marathahalli
'@ The Bbq,2.8,40,700.0,1,0,"['BBQ', 'Continental', 'North Indian', 'Chinese', 'Beverages']",Bellandur
'@99,3.4,37,200.0,0,0,"['Mughlai', 'Biryani', 'Chinese', 'North Indian']",Whitefield
'@Italy,4.1,305,700.0,1,0,['Italian'],Banashankari
'@North Parontha Hut,2.8,40,300.0,0,0,['North Indian'],Indiranagar
1000 B.C,3.2,49,300.0,1,0,"['Arabian', 'Sandwich', 'Rolls', 'Burger']","Byresandra,Tavarekere,Madiwala"
100ﾃδεつεδづつεδεつづδづつづδεつεδづつづδεつづδづつｰC,3.7,41,450.0,0,0,"['Biryani', 'North Indian']","Byresandra,Tavarekere,Madiwala"
11 to 11 Express Biriyanis,3.5,22,300.0,1,0,"['Biryani', 'Kebab']",Electronic City
1131 Bar + Kitchen,4.4,2861,1500.0,0,1,"['Continental', 'Asian', 'Italian', 'North Indian']",Old Airport Road
12th Main - Grand Mercure,4.1,353,2000.0,0,1,"['European', 'Asian']","Byresandra,Tavarekere,Madiwala"
1441 Pizzeria,4.1,119,800.0,1,0,"['Pizza', 'Salad']",Basavanagudi
1522 - The Pub,4.2,1731,1400.0,1,0,"['Chinese', 'Continental', 'North Indian']",Malleshwaram
154 Breakfast Club,4.0,1509,900.0,1,1,"['Cafe', 'Continental']","Byresandra,Tavarekere,Madiwala"
1722 Urban Bistro,4.1,218,600.0,1,1,"['North Indian', 'Chinese', 'Fast Food', 'Biryani']","Byresandra,Tavarekere,Madiwala"
18+ Ice Cafe,3.5,24,550.0,0,0,"['Cafe', 'Fast Food', 'Chinese', 'Beverages']",Kalyan Nagar
1947,3.9,620,1000.0,0,1,"['North Indian', 'Chinese', 'Continental']",Rajajinagar
1980s Games Cafe,3.4,58,400.0,1,0,"['Cafe', 'Fast Food']",Banashankari
1992 Chats - Space,3.7,33,200.0,1,0,['Street Food'],Malleshwaram
1Q1,4.3,595,2500.0,0,1,"['Asian', 'Japanese', 'Thai', 'Malaysian', 'Vietnamese', 'Korean', 'Chinese']",Brigade Road
1TO3 Kitchen,3.1,11,800.0,0,0,"['North Indian', 'Chinese', 'Continental', 'Italian', 'South Indian']",Marathahalli
2 Statez,3.7,209,600.0,1,0,"['Kerala', 'Seafood', 'South Indian', 'North Indian', 'Chinese']",Kalyan Nagar
20 Char - Sterlings MAC Hotel,4.0,419,1400.0,1,1,"['Chinese', 'Continental', 'North Indian', 'South Indian', 'Arabian']",Indiranagar
20 Feet High,4.0,932,1000.0,1,1,"['American', 'Continental', 'Steak', 'Salad']",Brigade Road
21 C - La Marvella Sarovar Premiere Hotel,3.6,15,1000.0,0,0,['Continental'],Basavanagudi
24 Carats - The Capitol,3.1,46,1000.0,0,0,"['Asian', 'Continental']",Brigade Road
24 Hours Cake Delivery,3.3,4,700.0,0,0,['Bakery'],Indiranagar
24 Hours Coffee Drop - La Classic,3.4,9,800.0,0,0,['Cafe'],Electronic City
24/7 - The Lalit Ashok Bangalore,4.0,344,3000.0,0,1,"['Continental', 'North Indian', 'Italian', 'Chinese']",Malleshwaram
24/7 Food Service,2.9,7,300.0,1,0,"['South Indian', 'North Indian', 'Fast Food']","Byresandra,Tavarekere,Madiwala"
24@43 - The Oterra,4.1,268,3000.0,0,1,"['North Indian', 'Asian', 'Continental']",Electronic City
24th Main,4.1,1234,800.0,0,1,"['North Indian', 'South Indian', 'Chinese']",Bannerghatta Road
29 Degrees North,3.9,283,250.0,1,0,"['North Indian', 'Fast Food', 'Street Food']",Kalyan Nagar
2nd Home Restaurant,3.7,21,500.0,1,0,"['South Indian', 'North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
3 Leafs,3.7,128,600.0,1,0,"['North Indian', 'South Indian', 'Chinese']",Marathahalli
3 Spice,3.9,156,450.0,1,0,"['North Indian', 'Chinese']",Koramangala 7th Block
30 Square,4.2,556,400.0,1,0,"['Tibetan', 'Nepalese', 'Momos']","Byresandra,Tavarekere,Madiwala"
360 Atoms Restaurant And Cafe,3.1,13,400.0,1,0,"['Cafe', 'Chinese', 'Continental', 'Italian']",Banashankari
36th Cross Coffee Mane,3.7,29,500.0,0,0,"['North Indian', 'Chinese']",JP Nagar
37 China Town,3.5,58,900.0,0,0,"['Chinese', 'Thai', 'North Indian', 'South Indian', 'Continental']",Lavelle Road
"3B's - Buddies, Bar & Barbecues",4.4,1149,1100.0,0,1,"['North Indian', 'Mediterranean', 'European', 'BBQ']","Byresandra,Tavarekere,Madiwala"
3G's - Gulp & Groove,4.1,662,1100.0,1,1,"['Finger Food', 'Continental', 'Chinese']",Malleshwaram
3rd Innings,3.0,17,1000.0,0,0,"['Burger', 'Italian', 'North Indian', 'Chinese']",Electronic City
4 Mangoes,3.7,14,200.0,0,0,['Ice Cream'],Indiranagar
4 Seasons Restaurant,3.7,399,1000.0,1,1,"['North Indian', 'Seafood', 'Middle Eastern', 'Chinese']",Kalyan Nagar
4 States,3.2,4,400.0,0,0,['South Indian'],Sarjapur Road
46 Ounces Brewgarden,2.8,40,1600.0,0,1,"['Bar Food', 'Finger Food', 'Pizza']",Electronic City
4700BC Popcorn,4.1,55,500.0,0,0,['Fast Food'],Whitefield
4Foodiez,3.6,82,300.0,1,0,"['South Indian', 'North Indian', 'Chinese']",Electronic City
4Foodiez - The Restaurant,3.0,23,400.0,0,0,"['Street Food', 'Chinese', 'North Indian', 'South Indian']",Electronic City
4K Biryani,3.3,4,700.0,1,0,"['North Indian', 'Chinese']",HSR
4th Tea Block,4.0,62,150.0,0,0,['Cafe'],Basavanagudi
5 Star Food,2.8,40,300.0,1,0,"['South Indian', 'Fast Food']",Frazer Town
50-50 EATING HOUSE,3.2,4,100.0,0,0,"['South Indian', 'Biryani']",Banashankari
52 Wall Street,3.9,737,1400.0,0,0,"['American', 'Continental', 'Finger Food']","Byresandra,Tavarekere,Madiwala"
55 Wall Street,3.9,1763,1300.0,0,1,"['Finger Food', 'North Indian', 'Chinese']",Bannerghatta Road
56 Bhoga Sweets,3.6,51,150.0,0,0,"['Mithai', 'Street Food']",HSR
5th Main Cafe,3.5,15,250.0,0,0,"['Cafe', 'Fast Food']","Byresandra,Tavarekere,Madiwala"
7 Days Restaurant,3.8,478,400.0,1,0,"['North Indian', 'Chinese', 'Arabian']",Electronic City
7 Degrees North,3.5,11,500.0,0,0,['North Indian'],HSR
